"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 15:07:00 GMT 2023","Wed Nov 22 15:07:00 GMT 2023","0","pytests","test_fixturesvalues","","","","test_module_1",""
"passed","Wed Nov 22 15:07:00 GMT 2023","Wed Nov 22 15:07:00 GMT 2023","1","pytests","test_fixturesvalues","","","","test_modular_2",""
"passed","Wed Nov 22 15:07:00 GMT 2023","Wed Nov 22 15:07:00 GMT 2023","0","pytests","test_fixturesvalues","","","","test_modular_3",""
