"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 09:30:23 GMT 2023","Sun Oct 29 09:30:23 GMT 2023","1","pytests","test_fixturesvalues","","","","test_modular_2",""
"passed","Sun Oct 29 09:30:23 GMT 2023","Sun Oct 29 09:30:23 GMT 2023","0","pytests","test_fixturesvalues","","","","test_module_1",""
"passed","Sun Oct 29 09:30:23 GMT 2023","Sun Oct 29 09:30:23 GMT 2023","0","pytests","test_fixturesvalues","","","","test_modular_3",""
