"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 24 18:34:57 GMT 2023","Sun Dec 24 18:34:57 GMT 2023","1","pytests","test_fixturesvalues","","","","test_modular_2",""
"passed","Sun Dec 24 18:34:57 GMT 2023","Sun Dec 24 18:34:57 GMT 2023","0","pytests","test_fixturesvalues","","","","test_modular_3",""
"passed","Sun Dec 24 18:34:57 GMT 2023","Sun Dec 24 18:34:57 GMT 2023","0","pytests","test_fixturesvalues","","","","test_module_1",""
